gene_name,SM0909_LR-L,SM0909_LR-R,SM1913_L-L,SM1914_R-R,SM0907_L-R,SM0908_R-L,SM0908_R-R,SM2026_L-L,SM2027_LR-L
Masp1,-0.994055411,-1.547950778,-0.999894534,-1.082047234,0.262932716,0.595161525,0.886156517,1.23899536,1.640701839
Ercc6l,-0.439624326,-0.89278358,-1.288490347,-0.39199982,0.606403311,0.615960643,0.612388548,0.388200984,0.789944586
Kif5c,-0.66610515,-0.58676116,-0.395074067,-1.032714402,0.317486735,0.484641573,0.68763856,0.536423188,0.654464723
Smc4,-0.495694618,-0.443512161,-0.860745001,-0.265025824,0.49780408,0.489402598,0.482188642,0.395897182,0.199685101
Fgl2,-1.20871135,-0.947587581,-0.934097013,-0.585660955,0.041598917,0.498448804,0.514716358,1.232419315,1.388873504
Ctsc,-0.550713383,-0.185345746,-0.593653409,-0.465112975,0.369927076,0.171423477,0.385700342,0.520216604,0.347558013
Rad51,-1.313567407,-0.478757762,-1.137726284,-0.696449955,1.111152922,0.959485191,1.004097236,0.351945137,0.199820921
Smpdl3b,-0.748790488,-0.249875488,-0.62072101,-0.626595992,0.246029597,0.341569879,0.630301338,0.396562064,0.631520098
Ch25h,-1.929656959,-0.78607484,-2.456346973,-0.441420091,1.744499756,1.106342591,1.249488815,0.952450189,0.560717511
Rrad,-0.578220259,-0.943606842,-0.510234624,-1.2978255,0.240122444,0.669914284,0.427090137,0.907117203,1.085643155
Ttk,-0.890200036,-0.623734459,-1.379139952,-0.368401713,0.861219343,0.763412664,0.724177567,0.710789925,0.201876661
Dnase1l3,-1.405689475,-1.737032305,-1.405297398,-0.413438061,-0.143016053,1.137564644,1.008859565,1.302360953,1.655688131
Aspm,-0.592017325,-0.93316042,-1.156692986,-0.237715342,0.644364053,0.679562493,0.763304465,0.572013884,0.260341178
Dsn1,-1.059763572,-0.45122614,-1.134398156,-0.492064843,0.821605028,0.862338286,0.780153495,0.387023533,0.286332369
Fgd2,-0.673687583,-0.477656853,-0.707692345,-0.829699669,0.157415815,0.380269033,0.332864214,0.762669583,1.055517805
Ccnf,-0.383128877,-0.742921241,-1.127879654,-0.902627321,0.882317181,0.804289719,0.98408459,0.066760025,0.419105579
Spag5,-1.016333145,-0.731681828,-1.330212522,-0.317773179,0.891900356,1.039155709,0.808812073,0.177646016,0.478486518
Rasgrp1,-1.590861042,-0.815570724,-1.285409272,-0.143539364,0.911496426,0.735313536,0.852286049,0.77048509,0.565799302
Clspn,-0.382553629,-0.808399024,-1.503691629,-0.511446032,0.792513368,0.764732756,0.736958895,0.565027382,0.346857913
Nfxl1,-0.400172559,-0.334809992,-0.305280864,-0.440800357,0.443264726,0.368061115,0.354780499,0.235724264,0.079233168
Igsf9,-0.538357089,-1.413733514,-1.598499112,-1.260660716,0.134333557,0.913422134,0.784946855,1.925198426,1.053349458
Cenpe,-0.370620569,-0.869708695,-1.479019858,-0.479529257,0.651255085,0.770976746,0.820053623,0.65831303,0.298279894
Itga9,-0.803155468,-1.262253377,-0.650191918,-0.457191969,0.337139756,0.296332653,0.430371963,1.140842018,0.968106342
Arhgap11a,-0.270668415,-0.429809568,-0.567459585,-0.289344807,0.437844945,0.321598657,0.295099174,0.356889573,0.145850027
Hells,-0.484056512,-0.516523192,-1.128072412,-0.47519484,0.678341668,0.785752151,0.571335927,0.22204524,0.346371971
Ncapg,-0.861941952,-0.645675906,-1.174884353,-0.476988805,0.911159041,0.780133173,0.999728579,0.50873903,-0.040268807
Topbp1,-0.337173263,-0.397251653,-0.476567059,-0.161008735,0.261253404,0.258300031,0.222715169,0.381661331,0.248070775
Rad54l,-0.678525032,-0.782197473,-1.343420826,-0.31014059,0.944616767,0.559533268,0.778714994,0.552552886,0.278866006
Ebi3,-0.38177472,-0.361440382,-0.554036753,-0.220839823,0.265843795,0.284581445,0.350134594,0.19151251,0.426019334
Nsl1,-0.978951859,-0.414115452,-1.418636966,-1.065955269,0.823522645,1.075522845,1.168236277,0.028072583,0.782305197
Cxcl9,-1.91440646,-1.539391757,-2.649928364,-0.943122426,-0.253385924,1.453816237,1.53079692,2.052729265,2.262892508
Cenpf,-0.430688033,-1.052076213,-1.365657168,-0.330071175,0.70870723,0.824746906,0.75925783,0.427790407,0.457990217
Shcbp1,-0.918681719,-0.534120082,-1.505116707,-0.738473301,1.078171044,0.98284681,1.16650816,0.194380894,0.274484901
Stk39,-0.484963336,-1.70384237,-0.746865833,-0.749817786,0.498382977,0.572810899,0.440786313,1.293049881,0.880459255
Fam83f,-1.494619965,-0.662077028,-0.520826563,-0.716221683,0.149795515,0.560757141,0.810705935,0.7636866,1.108800048
Diaph3,-0.411332621,-0.453700913,-1.019887411,-0.440110455,0.676670697,0.515686973,0.466015691,0.190513224,0.476144814
Stil,-1.31560586,-0.940154611,-1.446750463,-0.234000581,0.957087441,0.954865033,0.97360455,0.960749522,0.090204969
Slfn9,-0.558258601,-0.558297001,-0.433433026,-0.409533178,0.487111855,0.565574936,0.521090224,0.434779259,-0.049034466
Rnf227,-0.748895812,-0.382210253,-0.773597433,-0.817173944,0.51809299,0.489962942,0.520125366,0.728399403,0.465296741
Gm4951,-0.542846677,-0.973545171,-0.839633154,-0.602999653,0.118369492,0.427618766,0.33796366,1.090070997,0.98500174
Spdl1,-0.457394878,-0.666937739,-0.808966694,-0.31950239,0.574878145,0.652389897,0.562323192,0.168211232,0.294999235
E2f7,-0.719525195,-0.725652656,-1.561679408,-0.391969879,0.861372323,0.840873936,0.928877717,0.295662868,0.472040294
Nup210,-0.643913941,-0.610249765,-1.108680271,-0.231564688,0.35592452,0.300958656,0.58514812,0.577975287,0.774402082
Mid1,-0.821059944,-0.551761801,-0.339104857,-0.400035721,0.396554021,0.54640463,0.118040528,0.555931549,0.495031595
Ank2,-0.839085724,-0.519199296,-0.8405356,-0.846534417,0.235182374,1.155735317,0.64833589,0.340918743,0.665182713
Rapgef5,-0.899405311,-1.218425511,-1.266747442,-0.172389979,1.041511798,0.79352821,0.671529956,0.787361684,0.263036594
Marcks,-0.623159258,-0.400672867,-0.546557769,-0.121990631,0.297856512,0.257488062,0.373535763,0.343464819,0.42003537
Loxl3,-0.819534547,-0.710551071,-0.57001789,-0.385425933,0.200763788,0.422522937,0.250588728,0.783825496,0.827828492
Mcm8,-0.802045497,-0.798894265,-0.51132692,-0.349385686,0.25459312,0.321997291,0.640935888,0.525982432,0.718143638
Lipg,-2.148252664,-1.318826063,-0.452267072,-1.076308511,1.193429063,0.348158797,1.222445942,1.423269357,0.808351153
Troap,-0.793170243,-0.505854265,-1.437250318,-0.683722984,0.858791183,0.913183546,1.086481729,0.313372515,0.248168837
Exo1,-0.455398809,-0.660983412,-1.10880981,-0.984674787,0.936414775,0.812518744,0.929213507,0.498622745,0.033097048
